player_name,micro_position_group
Alfonso Pedraza,FB
Francis Coquelin,CDM
Alieu Fadera,W
Daichi Kamada,CAM
Francesco Acerbi,CB
Anthony Caci,FB
Dominik Szoboszlai,CAM
Stefano Moreo,ST
Tino Livramento,FB
Noni Madueke,W
Morgan Rogers,CAM
Florian Thauvin,W
Hugo Sotelo,CM
Jacob Ramsey,CM
Arnaut Danjuma,W
Nicolás Tagliafico,FB
Tommaso Baldanzi,CAM
Kaishu Sano,CDM
Tajon Buchanan,W
Peque Fernández,ST
Martín Satriano,ST
Cristian Romero,CB
Luka Modrić,CM
Victor Lindelöf,CB
Carlos Augusto,FB
Dwight McNeil,W
Lukasz Skorupski,GK
Luca Kerber,CM
Warren Zaïre-Emery,CM
Benedict Hollerbach,ST
Jean-Mattéo Bahoya,W
Ross Barkley,CM
Bertrand Traoré,W
Marten de Roon,CDM
Igor Zubeldia,CB
Pablo Pagis,W
Max Finkgräfe,FB
Mario Hermoso,CB
Elvis Rexhbecaj,CM
Luis Milla,CM
Folarin Balogun,ST
Johann Lepenant,CDM
Luke Shaw,FB
Neco Williams,FB
Frédéric Guilbert,FB
Kike García,ST
Yoel Lago,CB
Dan Burn,CB
M'Bala Nzola,ST
Frank Anguissa,CM
Rodrigo Bentancur,CDM
Dan Ballard,CB
Lucas Hernández,FB
Giovanni Simeone,ST
Wesley Saïd,ST
Saúl Coco,CB
Pierre-Emerick Aubameyang,ST
Pierre Kalulu,CB
Arnaud Kalimuendo,ST
Marcos Llorente,FB
Lucas Tousart,CM
Rodrigo Ribeiro,ST
Noah Sadiki,CM
András Schäfer,CM
Jorge de Frutos,W
Nick Woltemade,ST
Harry Kane,ST
Carlos Domínguez,CB
Amir Murillo,FB
Marin Pongracic,CB
Javi Muñoz,CM
Anthony Gordon,W
Riccardo Calafiori,FB
Mike Maignan,GK
Isak Hien,CB
Paul Nebel,CAM
Bamo Meïté,CB
Antonín Kinský,GK
Alejandro Balde,FB
Marc Casadó,CDM
Fermín López,CAM
Rafael Luís,CDM
Patrick Mainka,CB
Martin Dúbravka,GK
Obed Nkambadio,GK
Tom Louchet,CM
Hiroki Ito,CB
Conrad Harder,ST
Yassin Belkhdim,CM
Frank Magri,ST
Mamadou Sangaré,CM
Jhon Arias,W
Vitinha,ST
Daniel Oyegoke,FB
Rasmus Nicolaisen,CB
Maximilian Mittelstädt,FB
Benjamin Pavard,CB
Romain Del Castillo,W
Fabian Schär,CB
Manu Fernández,CB
Kevin Trapp,GK
Bernd Leno,GK
Tomáš Souček,CDM
Luke O'Nien,CB
Iñaki Peña,GK
Mattia Zaccagni,W
Seko Fofana,CM
Jean-Philippe Gbamin,CB
Clément Lenglet,CB
Adrien Rabiot,CM
Hugo Álvarez,W
Miguel Román,CM
Mathias Honsak,W
Gabriel Strefezza,W
Tijjani Noslin,W
Théo De Percin,GK
Nicola Leali,GK
Charalampos Lykogiannis,FB
Thiago Pitarch,CM
Federico Baschirotto,CB
Lucas Perri,GK
Omar Alderete,CB
Min-jae Kim,CB
Khvicha Kvaratskhelia,W
Moritz Nicolas,GK
Anthony Jung,CB
Ludovic Ajorque,ST
Mikel Oyarzabal,ST
Lucas Ahijado,FB
Fabián Ruiz,CM
Robin Le Normand,CB
Leonardo Bittencourt,CM
Mikel Jauregizar,CM
Aurèle Amenda,CB
Axel Witsel,CDM
Giorgi Mamardashvili,GK
Luka Sucic,CM
Adrià Pedrosa,FB
Manuel Akanji,CB
João Cancelo,FB
Emerson,FB
Ally Samatta,ST
Ramy Bensebaini,CB
Aarón Escandell,GK
Marco Brescianini,CM
Nicolò Cambiaghi,W
Cucho Hernández,ST
Haris Belkebla,CM
Christian Kofane,ST
Daniel Carvajal,FB
Pervis Estupiñán,FB
Marquinhos,CB
Aitor Paredes,CB
Aaron Hickey,FB
Victor Parada,FB
Sebastian Sebulonsen,FB
Nicolai Remberg,CDM
Carles Aleñá,CM
Jonas Hofmann,CAM
Yerson Mosquera,CB
Darlin Yongwa,FB
Giovani Lo Celso,CAM
Alexander Isak,ST
Antonee Robinson,FB
Yan Diomande,W
Enzo Le Fée,CM
Aimar Oroz,CAM
Beñat Turrientes,CM
Niclas Füllkrug,ST
Yegor Yarmolyuk,CM
Marc Cucurella,FB
Baptiste Santamaria,CDM
Antonio Nusa,W
Joel Roca,W
Marco Palestra,FB
James Ward-Prowse,CM
Bradley Locko,FB
Mehdi Léris,W
Iker Losada,ST
Virgil van Dijk,CB
Karol Mets,CB
Lamine Yamal,W
Marco Carnesecchi,GK
Gennaro Borrelli,ST
Abde Ezzalzouli,W
Clément Akpa,CB
Ilyas Chaira,W
Víctor García,W
Abdoulaye Touré,CDM
Eric Bailly,CB
Ainsley Maitland-Niles,FB
Guglielmo Vicario,GK
Andréas Hountondji,ST
Andrea Cambiaso,FB
Patrizio Masini,CM
Nicolò Bertola,CB
Alejandro Francés,CB
Jordan Zemura,FB
Nordi Mukiele,FB
Ché Adams,ST
Sambou Soumano,ST
Samuele Angori,CM
Woyo Coulibaly,FB
Himad Abdelli,CAM
Lorenzo Pellegrini,CAM
Abde Rebbach,W
Pavel Sulc,CAM
Chidera Ejuke,W
Evann Guessand,W
Sean Longstaff,CM
Giovanni Fabbian,CAM
Thierno Barry,ST
Radoslaw Majecki,GK
Kamil Grabara,GK
Romano Schmid,CAM
Noah Okafor,W
Luca Pellegrini,FB
Sofyan Amrabat,CDM
Pau López,GK
Tim Skarke,ST
Renato Veiga,CB
Ludovic Blas,CM
Piotr Zielinski,CM
Ousmane Dembélé,ST
Mason Mount,CAM
Danel Sinani,CAM
Moritz Jenz,CB
Vladyslav Vanat,ST
Saud Abdulhamid,FB
Jarell Quansah,CB
Willi Orbán,CB
Luca Ranieri,CB
Trevoh Chalobah,CB
Nicolás Domínguez,CM
David Carmo,CB
Ousmane Camara,CB
David de Gea,GK
Antonio Vergara,CAM
Lucas Da Cunha,CM
Andrias Edmundsson,CB
Karim Adeyemi,W
Montassar Talbi,CB
Jens Odgaard,CAM
Rubén Vargas,W
Ladislav Krejci,CB
Sergi Darder,CM
Raúl García,ST
Mouctar Diakhaby,CB
Christopher Trimmel,FB
Neil El Aynaoui,CM
Daniel Batz,GK
Ethan Mbappé,W
Dani Parejo,CM
Azzedine Ounahi,CM
Emil Holm,FB
Andoni Gorosabel,FB
Jon Guridi,CM
Phillip Tietz,ST
Matthieu Udol,FB
Habib Diallo,ST
Gauthier Hein,W
Filippo Terracciano,CB
Iván Romero,ST
Sebastian Walukiewicz,FB
Rodrigo Riquelme,W
Tijjani Reijnders,CM
Yerry Mina,CB
Domenico Berardi,W
Harry Maguire,CB
Assan Ouédraogo,CM
Kevin,W
Jens Stage,CM
Aïssa Mandi,CB
Hassane Kamara,FB
Malang Sarr,CB
Christopher Nkunku,ST
Mostafa Mohamed,ST
Omar Mascarell,CDM
Benjamin Sesko,ST
Estéban Lepaul,ST
Dayot Upamecano,CB
Mauro Arambarri,CM
Víctor Chust,CB
William Saliba,CB
Jorge Cuenca,CB
Nathan Aké,CB
Janik Haberer,CM
Jean Butez,GK
Mathys Tel,ST
Salomón Rondón,ST
Noah Nartey,CAM
Kelvin Amian,FB
Odsonne Édouard,ST
Calvin Bassey,CB
Nicolás Fonseca,CDM
Wilfried Gnonto,W
Matías Vecino,CM
Anton Stach,CDM
Antonio Blanco,CDM
Daniel Muñoz,FB
Aymeric Laporte,CB
Pep Chavarría,FB
Justin Njinmah,W
Moussa Niakhaté,CB
Kylian Mbappé,ST
Guido Rodríguez,CDM
Mattias Svanberg,CM
Leandro Trossard,W
Matías Dituro,GK
Nicolas Pépé,W
Ellyes Skhiri,CDM
Jean-Luc Dompé,W
Maxime Lopez,CDM
Wilson Isidor,ST
Jonathan Clauss,FB
Eric Dier,CB
Gerard Moreno,ST
Krépin Diatta,CM
Willem Geubbels,ST
Oumar Solet,CB
Gabriele Piccinini,CM
Lucas Beltrán,ST
Jofre Carreras,W
Boulaye Dia,ST
Gustav Isaksen,W
Lucas Chevalier,GK
Enzo Ebosse,CB
Niklas Beste,W
Hee-chan Hwang,ST
Moi Gómez,CAM
Eric Martel,CDM
Leopold Querfeld,CB
Nikola Stulic,ST
Beto,ST
Ayoube Amaimouni-Echghouyab,W
André,CDM
Axel Tuanzebe,CB
Grady Diangana,W
Franco Vázquez,CAM
Álvaro Núñez,FB
Christian Günter,FB
Abdukodir Khusanov,CB
Josué Casimir,W
Khéphren Thuram,CM
Eric Smith,CB
Wout Faes,CB
Oriol Rey,CDM
Louis Mouton,CAM
Jorrel Hato,FB
Ibrahim Maza,CAM
Pablo Durán,ST
Jonny Otto,FB
Franco Israel,GK
Ao Tanaka,CM
Yan Couto,FB
John Donald,CB
Lautaro Valenti,CB
Ante Budimir,ST
Filip Stojilkovic,ST
Torbjørn Heggem,CB
Bafodé Diakité,CB
Yann Gboho,W
Nikola Vlašić,CAM
Jacob Bruun Larsen,W
Dani Olmo,CAM
Florian Wirtz,CAM
Ferran Jutglà,W
Arkadiusz Pyrka,FB
Senny Mayulu,CM
Koni De Winter,CB
Djordje Petrovic,GK
Jayden Bogle,FB
Andrej Kramaric,ST
Urko González de Zárate,CDM
Jon Ander Olasagasti,CM
João Pedro,ST
Iván Martín,CM
Oliver Burke,ST
Juan Miranda,FB
Ignace Van der Brempt,FB
Conor Gallagher,CM
Gvidas Gineitis,CM
Tom Rothe,FB
Kenny Lala,FB
Calebe,CAM
Alidu Seidu,CB
Fodé Doucouré,FB
Joe Willock,CM
Maduka Okoye,GK
Kyle Walker-Peters,FB
Yvon Mvogo,GK
Manu Koné,CM
Raúl Moro,W
Adrián Dela,CB
Fran García,FB
Fodé Ballo-Touré,FB
Charlie Cresswell,CB
James Tarkowski,CB
Davide Zappacosta,CM
Morgan Sanson,CM
Dimitrios Giannoulis,FB
Jesús Areso,FB
Mattéo Guendouzi,CM
Ander Guevara,CM
Arnau Tenas,GK
Lewis Dunk,CB
Jeff Ekhator,ST
Gonzalo García,ST
Víctor Muñoz,W
Caoimhín Kelleher,GK
Martin Frese,FB
Mamadou Sarr,CB
Nikolas Veratschnig,CM
Matheus Nunes,FB
Antony,W
Francesco Folino,CB
Alberto Reina,CM
Lorenzo Colombo,ST
Randal Kolo Muani,ST
Raúl Asencio,CB
Lukas Kübler,FB
Julen Agirrezabala,GK
Iliman Ndiaye,W
Thibault De Smet,FB
Gorka Guruzeta,ST
Noussair Mazraoui,FB
Nathan Tella,W
Hamari Traoré,FB
Joe Rodon,CB
Matt Doherty,FB
Manuel Neuer,GK
Nelson Deossa,CM
Pablo Marín,CAM
Woo-yeong Jeong,CAM
Tete Morente,W
Kristoffer Lund,FB
Mohamed Salah,W
Remo Freuler,CM
Kiko Femenía,FB
Williot Swedberg,W
Théo Le Bris,CM
Alessio Castro-Montes,CM
Pedro Neto,W
Sinaly Diomandé,CB
Jamil Siebert,CB
Mohamed Kaba,CM
Antonio Sivera,GK
Eray Cömert,CB
Miro Muheim,FB
Sergi Altimira,CM
Adrián Bernabé,CM
Nico González,CDM
Deniz Undav,ST
Noa Lang,W
Rico Henry,FB
Antonio Caracciolo,CB
Jobe Bellingham,CM
Lamine Sy,FB
Donovan Léon,GK
Raphaël Guerreiro,FB
Borja Mayoral,ST
Francisco Conceição,W
Mile Svilar,GK
Joris Chotard,CDM
Conor Bradley,FB
Fran Pérez,W
Jesús Vázquez,FB
Hugo Larsson,CM
Sascha Britschgi,FB
Mikel Merino,CM
Eric García,CB
Maarten Vandevoordt,GK
Warren Kamanzi,FB
Nelson Weiper,ST
Toni Martínez,ST
Jérémy Doku,W
Pape Gueye,CM
Unai Núñez,CB
Samuel Amo-Ameyaw,W
Ángel Ortiz,FB
Christian Eriksen,CAM
Tim Iroegbunam,CM
Álex Berenguer,W
Senne Lynen,CDM
Michele Di Gregorio,GK
Fikayo Tomori,CB
Désiré Doué,W
Keke Topp,ST
Daniele Ghilardi,CB
Ionuț Radu,GK
Nicolas Cozza,CB
Giuseppe Pezzella,FB
Konstantinos Tsimikas,FB
Matias Fernandez-Pardo,ST
Ansu Fati,W
Rocco Reitz,CM
Joel Chima Fujita,CM
Djaoui Cissé,CM
Leon Goretzka,CM
Malik Tillman,CAM
Armel Bella-Kotchap,CB
Ian Maatsen,FB
Dimitri Foulquier,FB
Jean-Daniel Akpa Akpro,CM
Juan Cruz,FB
Guillaume Restes,GK
Amadou Onana,CDM
Albert Gudmundsson,ST
Iago Aspas,ST
Roberto Fernández,ST
Hauke Wahl,CB
Pio Esposito,ST
Raúl Albiol,CB
Fabio Chiarodia,CB
Luca Lipani,CDM
Umar Sadiq,ST
Jeff Chabot,CB
Silvan Widmer,FB
Anthony Lopes,GK
Jean-Clair Todibo,CB
Louis Oppie,FB
Igor Matanovic,ST
Henrik Meister,ST
Dominic Calvert-Lewin,ST
Sirlord Conteh,W
Marc Roca,CDM
Tim Siersleben,CB
Kike Salas,CB
Malo Gusto,FB
Ibrahim Diabate,ST
Olivier Deman,FB
Andrew Omobamidele,CB
Arouna Sangante,CB
Simon Ebonog,CM
Idrissa Touré,CM
Toma Bašić,CM
Ben White,FB
Philipp Treu,FB
Nicolas Kühn,W
Altay Bayındır,GK
Cesare Casadei,CM
Lucas Pires,FB
Rahim Alhassane,FB
Mërgim Vojvoda,FB
Rolando Mandragora,CDM
Lilian Brassier,CB
Kevin Carlos,ST
Ernest Poku,W
Andrés Castrín,CB
Giovanni Di Lorenzo,FB
Pablo Torre,CAM
Kai Havertz,ST
Roony Bardghji,W
Aleksandar Pavlovic,CDM
Samuele Ricci,CDM
Linton Maina,W
Kevin Diks,CB
Maxime Colin,FB
Mohamed Bamba,ST
Haissem Hassan,W
Robin Hranac,CB
Mio Backhaus,GK
Lucas Gourna-Douath,CDM
Denis Zakaria,CDM
Manu Morlanes,CM
Ermedin Demirovic,ST
Amos Pieper,CB
Lucas Boyé,ST
Adrien Tamèze,CDM
Marco Friedl,CB
Nathan Collins,CB
Lyle Foster,ST
Cristian Cásseres Jr.,CM
Brais Méndez,CAM
Alfonso Espino,FB
Jeremie Frimpong,FB
Toti,CB
Akor Adams,ST
Josip Stanisic,FB
Djed Spence,FB
Trent Alexander-Arnold,FB
El Chadaille Bitshiabu,CB
Vanderson,FB
Leander Dendoncker,CDM
Edoardo Motta,GK
Rémy Labeau Lascary,ST
Jae-sung Lee,CAM
Valentin Rongier,CM
Jonathan Burkardt,ST
Lars Ritzka,FB
Vladimír Coufal,FB
Castello Lukeba,CB
Tyler Morton,CDM
Manu Sánchez,FB
Joelinton,CM
Brahim Díaz,W
Josh Laurent,CM
Lukas Nmecha,ST
Jarrod Bowen,W
Pierre-Emile Højbjerg,CDM
Jonas Urbig,GK
Éderson,CM
Ardon Jashari,CDM
Marcus Edwards,W
Tyler Adams,CDM
Mario Gila,CB
Johan Manzambi,CM
Santi Cazorla,CM
Robert Andrich,CDM
Arthur Vermeeren,CDM
Sander Berge,CDM
Pablo Barrios,CM
Abdallah Sima,W
James Milner,CM
Lucas Høgsberg,CB
Adam Smith,FB
Marcos Senesi,CB
David Neres,W
Nicolas Jackson,ST
Weston McKennie,CM
Koffi Kouao,FB
Luis Díaz,W
Stefano Sabelli,FB
Christian Pulisic,W
Justin Bijlow,GK
Alessandro Bastoni,CB
Merlin Röhl,CAM
William Osula,ST
Rayan Cherki,CAM
Hannibal,CAM
Loum Tchaouna,W
Gianluigi Donnarumma,GK
Lisandro Martínez,CB
Deiver Machado,FB
Diego López,W
Jenson Seelt,CB
Serge Gnabry,ST
Patrick Dorgu,W
Juan Foyth,CB
Lloyd Kelly,CB
Lukas Hradecky,GK
Lamine Camara,CM
Jeanuël Belocian,CB
Matteo Politano,W
Ramón Terrats,CM
Pablo Ibáñez,CM
Ismaël Doukouré,CB
Ransford Königsdörffer,ST
Kenneth Taylor,CM
Yuri Berchiche,FB
Matteo Ruggeri,FB
Brennan Johnson,W
Manuel Lazzari,FB
Óscar Mingueza,FB
Unai Vencedor,CM
Rasmus Højlund,ST
Tomoya Ando,CB
Liam Delap,ST
Lukas Ullrich,FB
Andrea Pinamonti,ST
Gianluca Scamacca,ST
Nikola Moro,CDM
Pepelu,CDM
Kristoffer Ajer,CB
Marvin Schwäbe,GK
Marc Oliver Kempf,CB
Justin Kluivert,CAM
Scott McTominay,CM
Ben Chilwell,FB
Ronald Araujo,CB
Félix Correia,W
Stole Dimitrievski,GK
Berat Djimsiti,CB
Takumi Minamino,W
Eberechi Eze,CAM
David Raum,FB
Martin Ødegaard,CAM
James Hill,CB
Bashir Humphreys,CB
Jens Castrop,CM
Denis Suárez,CAM
Dominik Greif,GK
Olivier Boscagli,CB
Romain Perraud,FB
Adrian Semper,GK
Marcus Thuram,ST
Crysencio Summerville,W
Jan Thielmann,W
Ridle Baku,FB
Robin Koch,CB
Mert Kömür,CAM
Reece James,FB
Marvin Pieringer,ST
Robin Zentner,GK
Diego Carlos,CB
Matthijs de Ligt,CB
Frenkie de Jong,CM
Dani Calvo,CB
Joshua Kimmich,CDM
Ilaix Moriba,CM
Tiago Tomás,W
Ander Barrenetxea,W
Matvey Safonov,GK
Aaron Wan-Bissaka,FB
Archie Gray,CDM
Lewis Miley,CM
Leny Yoro,CB
Mory Diaw,GK
Daniel James,W
Mathias Jensen,CM
Kevin Schade,W
Brian Brobbey,ST
Dante,CB
Djibril Sidibé,FB
Matteo Bianchetti,CB
Finn Jeltsch,CB
Hugo Magnetti,CM
Mama Baldé,ST
Viktor Gyökeres,ST
Donyell Malen,ST
Toni Lato,FB
Ryan Gravenberch,CDM
Tiago Gouveia,W
Cenk Özkacar,CB
Noahkai Banks,CB
Ismaël Koné,CM
Oliver Scarles,FB
Manuel Ugarte,CDM
Mahdi Camara,CM
Youssef Maleh,CM
Arnaud Nordin,W
Lennon Miller,CM
Jordan Henderson,CDM
Nuno Mendes,FB
Wesley Fofana,CB
Sebastian Szymanski,CAM
Emiliano Buendía,W
Brajan Gruda,CAM
Gaetano Oristanio,CAM
Denzel Dumfries,FB
Jean-Victor Makengo,CAM
Matteo Gabbia,CB
Omri Gandelman,CAM
Ollie Watkins,ST
Jonathan Ikoné,W
Niklas Stark,CB
Freddie Potts,CDM
Thomas Kristensen,CB
Hugo Bueno,FB
Christoph Baumgartner,CAM
Facundo Medina,CB
Kiernan Dewsbury-Hall,CM
Matteo Tramoni,CAM
Aron Dønnum,CM
Joel Mvuka,CM
Daniele Rugani,CB
Alberto Paleari,GK
Casemiro,CDM
Josko Gvardiol,CB
Joël Schmied,CB
Nícolas,GK
Diego Gómez,CM
Kauã Santos,GK
Christian Mawissa,CB
Vitor Reis,CB
Murillo,CB
Jaydee Canvot,CB
Junior Diaz,CB
Thomas Meunier,FB
Yann Sommer,GK
Caio Henrique,FB
Lutsharel Geertruida,FB
Marc Bernal,CDM
Jon Martín,CB
Josh King,CAM
Junior Mwanga,CDM
Yankuba Minteh,W
George Hirst,ST
Javi Hernández,FB
Mathis Amougou,CM
George Ilenikhena,ST
Yahia Fofana,GK
Jorginho,CDM
Issiaga Sylla,FB
José Gragera,CM
Yann Karamoh,W
Maxime Bernauer,CB
Armando Izzo,CB
Levi Colwill,CB
Willy Kambwala,CB
Benjamin Bouchouari,CM
Emerson Royal,FB
Nathan Zézé,CB
Jack Stephens,CB
Jordan Veretout,CM
Carlo Boukhalfa,CAM
Aaron Cresswell,FB
Anuar,W
Valentin Atangana,CM
Dani Ceballos,CM
Juan Cuadrado,CM
Kevin Akpoguma,CB
Georgios Masouras,W
Alessandro Vogliacco,CB
Derek Cornelius,CB
Ben Old,FB
Benedikt Pichler,ST
Max Geschwill,CB
Christopher Operi,FB
Tammy Abraham,ST
Nediljko Labrovic,GK
Ivan Ilić,CM
Liberato Cacace,FB
Yvan Neyou,CDM
David Zec,CB
Iñigo Martínez,CB
Chuki,CAM
Mamadou Sylla,ST
Miguel de la Fuente,ST
Marcos André,ST
Niklas Süle,CB
Heung-min Son,W
Chimy Ávila,ST
Leandro Paredes,CDM
Alassane Pléa,ST
Matteo Pessina,CM
Tanguy Coulibaly,W
Christos Mandas,GK
Andrea Carboni,CB
Azor Matusiwa,CDM
Pedro Pereira,FB
Ben Johnson,FB
Jens Cajuste,CDM
Andrea Belotti,ST
Carlos Martín,W
Mathieu Gorgelin,GK
Bence Dárdai,CAM
Shavy Babicka,W
Antoine Hainaut,FB
Joe Aribo,CM
Lucas Rosa,FB
Maxim Leitsch,CB
Georgios Kyriakopoulos,FB
Logan Costa,CB
Marco Komenda,CB
Lorenzo De Silvestri,FB
Sergi Gómez,CB
Sergio González,CB
Finn Becker,CM
Christian Kouamé,ST
Mehdi Taremi,ST
Ado Onaiwu,ST
Kasey McAteer,CM
Alen Sherri,GK
Juanmi Latasa,ST
Dodi Lukébakio,W
Rico Lewis,FB
Ki-Jana Hoever,FB
Alex Král,CM
Mario Lemina,CDM
Timo Werner,ST
Mikel Vesga,CDM
Pontus Almqvist,W
Gaetano Castrovilli,CM
Jubal,CB
Abdoulaye Bamba,CB
Theo Hernández,FB
Grigoris Kastanos,CM
Pol Lirola,FB
Massadio Haïdara,FB
Stephy Mavididi,W
Frans Krätzig,FB
Oli McBurnie,ST
Christian Nørgaard,CDM
Sebastiaan Bornauw,CB
Dani de Wit,CAM
Eddie Nketiah,ST
Marco Asensio,CAM
Lukasz Fabianski,GK
Saúl Ñíguez,CM
Thórir Jóhann Helgason,CM
Joshua King,ST
Alessandro Bianco,CM
Beñat Prados,CM
Javi Sánchez,CB
Diogo Jota,W
Timon Weiner,GK
Marvin Park,FB
Jakov Medic,CB
Magnus Kofod Andersen,CM
Marcin Bulka,GK
Răzvan Marin,CM
Arne Maier,CM
Abel Ruiz,ST
Casper Tengstedt,ST
James Maddison,CAM
Max Rosenfelder,CB
Mattia Felici,W
Leif Davis,FB
Jasper Cillessen,GK
Saba Goglichidze,CB
Borna Sosa,FB
Diego Conde,GK
Danilo,CB
Roméo Lavia,CDM
Jonathan Bamba,W
Irvin Cardona,W
Cyle Larin,ST
Alexandre Lacazette,ST
Erhan Masovic,CB
Nathan Broadhead,W
Ferland Mendy,FB
Sammie Szmodics,CAM
Mickaël Nadé,CB
Anass Zaroury,W
Pavel Kaderabek,CM
Rayan Raveloson,CDM
André Ferreira,GK
Saïd Benrahma,W
Karl Hein,GK
Nathan Ngoumou,W
Álvaro Tejero,FB
Orel Mangala,CDM
Fiete Arp,CAM
Artem Dovbyk,ST
Juan Berrocal,CB
Antoine Makoumbou,CDM
Samuele Birindelli,FB
Adnan Januzaj,W
Paul Wanner,CM
Dylan Batubinsika,CB
João Félix,ST
Jean-Kévin Duverne,CB
Adrián Embarba,W
Léo Scienza,CAM
Donny van de Beek,CM
Devis Vásquez,GK
Ashley Young,FB
Assane Dioussé,CDM
Adam Masina,CB
Edon Zhegrova,W
Tamás Nikitscher,CDM
Alexander Bernhardsson,W
David Jurásek,FB
Alexander Schwolow,GK
Héctor Fort,FB
Adam Aznou,FB
Junya Ito,W
Saïdou Sow,CB
Cristhian Stuani,ST
Hernani,CM
Dani Rodríguez,CAM
Mory Gbane,CDM
Óscar Rodríguez,CAM
Yarek Gasiorowski,CB
Gaby Jean,CB
Nicolas Pallois,CB
Florian Müller,GK
Conor Chaplin,ST
Ismaël Bennacer,CDM
Theo Bair,ST
Jean-Charles Castelletto,CB
Tim Oermann,CB
Robin Hack,W
Tommaso Augello,FB
Kalvin Phillips,CDM
Moussa Diarra,CB
Samuel Lino,W
Gaëtan Perrin,W
Jack Taylor,CM
Amir Richardson,CM
Carles Pérez,W
Marcus Coco,FB
Giorgio Altare,CB
Jordan,ST
Florian Sotoca,ST
Timo Becker,CB
André Ayew,ST
Ko Itakura,CB
Albert Grønbaek,CAM
Vicente Guaita,GK
Étienne Youté Kinkoué,CB
David Nemeth,CB
Eliesse Ben Seghir,W
Vincent Sierro,CM
Junior Adamu,ST
Alban Lafont,GK
Jesse Joronen,GK
Tanguy Ndombélé,CM
Filip Jørgensen,GK
Ahmed Hassan,ST
Gautier Larsonneur,GK
Taylor Harwood-Bellis,CB
Thomas Müller,ST
Daler Kuzyaev,CM
Abdul Mumin,CB
Patrick Drewes,GK
Ethan Nwaneri,CAM
Tariq Lamptey,FB
Bobby De Cordova-Reid,CAM
Angeliño,FB
Marc-André ter Stegen,GK
Samuel Gigot,CB
Marko Ivezic,CB
Badredine Bouanani,W
Renato Tapia,CDM
Nathan Wood,CB
John Stones,CB
Mitchel Bakker,CM
Luis Pérez,FB
Eldor Shomurodov,ST
Felix Passlack,FB
Gianluca Busio,CM
Ante Rebić,W
Wilfred Ndidi,CDM
Jim Allevinah,W
Arthur Melo,CM
Josip Juranovic,FB
Gabriel Jesus,ST
Conor Coady,CB
Alejo Veliz,ST
Enzo Loiodice,CM
Vitor Roque,ST
Paul Onuachu,ST
Becir Omeragic,CB
Leonidas Stergiou,FB
Luke Thomas,FB
Wilfried Singo,FB
Lasse Rosenboom,FB
Osame Sahraoui,W
Yvann Maçon,FB
Flynn Downes,CDM
Abdoulaye Doucouré,CAM
Jesper Karlsson,W
Benjamin Lecomte,GK
Armin Gigovic,CM
Magnus Knudsen,CM
Gerrit Holtmann,W
Robert Skov,CM
Jesper Lindstrøm,W
Manu Fuster,W
Ángel Correa,ST
Jhoanner Chávez,FB
Mateo Kovacic,CM
Henri Koudossou,FB
Luca Caldirola,CB
Jhon Durán,ST
Kepa Arrizabalaga,GK
Pablo Rosario,CDM
Juanmi,W
Juan Bernat,FB
Will Smallbone,CM
Augustine Boakye,W
Anrie Chase,CB
Marash Kumbulla,CB
Davide Calabria,FB
Joan Jordán,CM
Amine Harit,W
Florian Ayé,ST
Ryan Manning,FB
Ernest Nuamah,W
Leroy Sané,W
Victor Boniface,ST
Selim Amallah,CAM
Jacob Greaves,CB
Marvin Ducksch,ST
Ben Davies,CB
Ethan Pinnock,CB
Igor Julio,CB
Tim Kleindienst,ST
Aurélio Buta,FB
Emmanuel Sabbi,W
Tino Kadewere,ST
Darko Brasanac,CM
Lucas Stassin,ST
Isaak Touré,CB
José Luis Palomino,CB
Luka Jović,ST
Oier Zarraga,CM
Patrick Erras,CB
Adrián San Miguel,GK
Sam Morsy,CM
Florian Grillitsch,CDM
Kevin Müller,GK
Andy Delort,ST
Leon Bailey,W
Stanko Juric,CDM
Scott McKenna,CB
Modibo Sagnan,CB
Ismaily,FB
Ümit Akdağ,CB
Maximilian Bauer,CB
Marvin Friedrich,CB
Cameron Burgess,CB
Patrick Ciurria,CM
Rodrigo De Paul,CM
Kike Pérez,CM
Fraser Forster,GK
Lorenzo Lucca,ST
Christopher Wooh,CB
Luke Woolfenden,CB
Julian Weigl,CDM
Maximilian Wittek,FB
Jonas Wind,ST
Mads Roerslev,FB
Chuba Akpom,ST
Juan Soriano,GK
Oriol Romeu,CDM
Craig Dawson,CB
Johannes Eggestein,ST
Dennis Geiger,CM
Abakar Sylla,CB
Pasquale Mazzocchi,FB
José Campaña,CM
Álex Sola,W
Lennard Maloney,CDM
Andrea Colpani,CAM
Jaden Philogene,W
Angelo Fulgini,CAM
Douglas Augusto,CM
Antonio Candela,FB
Valentin Gendrey,FB
Harry Winks,CDM
Fredrik Jensen,CAM
Mitchell Weiser,FB
Ivan Ordets,CB
Jordan James,CM
Jota Silva,W
Jonas Omlin,GK
Paweł Dawidowicz,CB
Edimilson Fernandes,CDM
Philipp Hofmann,ST
Cameron Archer,ST
Abdul Fatawu,W
Stefan Bajcetic,CDM
Tyler Dibling,W
Samuel Essende,ST
Yacine Adli,CDM
Mikayil Faye,CB
Romelu Lukaku,ST
Yunis Abdelhamid,CB
Kingsley Coman,W
Álex Muñoz,FB
Edoardo Goldaniga,CB
Salih Özcan,CDM
Valentin Mihăilă,W
Pierre Cornud,FB
Enzo Millot,CAM
