player_name,team_name,competition,season,position,goals,assists,played_matches,age,predicted_value_eur
Nikola Vlašić,Torino FC,SA,2025,,8,3,37,27.824777549623544,17515696.0
Johan Manzambi,SC Freiburg,BL1,2025,,5,4,28,19.797399041752225,17450736.0
Arnaud Kalimuendo,Eintracht Frankfurt,BL1,2025,,6,1,19,23.529089664613277,17448504.0
Nicolas Pépé,Villarreal CF,PD,2025,,8,8,37,30.17659137577002,17372460.0
Yuito Suzuki,SC Freiburg,BL1,2025,,4,2,29,23.76728268309377,17237892.0
Hakan Çalhanoğlu,FC Internazionale Milano,SA,2025,,9,4,26,31.477070499657767,17206424.0
Riccardo Orsolini,Bologna FC 1909,SA,2025,,10,1,37,28.517453798767967,17191396.0
Lucas Da Cunha,Como 1907,SA,2025,,6,5,38,24.145106091718002,17011152.0
Angel Gomes,Olympique de Marseille,FL1,2025,,3,0,17,24.917180013689254,16998244.0
Ferran Jutglà,RC Celta de Vigo,PD,2025,,9,3,35,26.496919917864478,16938724.0
Tim Lemperle,TSG 1899 Hoffenheim,BL1,2025,,8,2,29,23.485284052019164,16864836.0
Nicolò Zaniolo,Udinese Calcio,SA,2025,,5,6,32,26.083504449007528,16796236.0
Dzenan Pejcinovic,VfL Wolfsburg,BL1,2025,,8,0,33,20.45722108145106,16676686.0
Jens Odgaard,Bologna FC 1909,SA,2025,,5,1,35,26.338124572210816,16676432.0
Arthur Atta,Udinese Calcio,SA,2025,,5,3,32,22.546201232032853,16196774.0
Jakub Kamiński,1. FC Köln,BL1,2025,,7,3,34,23.156741957563312,16152350.0
Raphaël Guerreiro,FC Bayern München,BL1,2025,,5,2,29,31.60848733744011,16140246.0
Leo Østigård,Genoa CFC,SA,2025,,5,0,32,25.675564681724847,16112994.0
Roberto Piccoli,ACF Fiorentina,SA,2025,,4,1,35,24.50924024640657,16045645.0
Aleksandr Golovin,AS Monaco FC,FL1,2025,,5,5,27,29.17180013689254,15989553.0
Mamadou Coulibaly,AS Monaco FC,FL1,2025,,3,3,29,21.27857631759069,15952450.0
Wesley,AS Roma,SA,2025,,5,0,30,21.90280629705681,15891379.0
Diego Moreira,RC Strasbourg Alsace,FL1,2025,,4,7,26,20.985626283367555,15846734.0
Fabian Rieder,FC Augsburg,BL1,2025,,6,3,32,23.45516769336071,15777729.0
Lennart Karl,FC Bayern München,BL1,2025,,5,5,30,17.440109514031484,15772614.0
Sebastiano Esposito,Cagliari Calcio,SA,2025,,7,5,37,23.082819986310746,15629139.0
Carlos Soler,Real Sociedad de Fútbol,PD,2025,,4,3,34,28.577686516084874,15544618.0
Mario Pašalić,Atalanta BC,SA,2025,,3,4,37,30.47501711156742,15510352.0
Kristian Thorstvedt,US Sassuolo Calcio,SA,2025,,4,4,32,26.38740588637919,15397430.0
John McGinn,Aston Villa FC,PL,2025,,5,4,30,30.78713210130048,15293029.0
Matias Fernandez-Pardo,Lille OSC,FL1,2025,,8,5,31,20.490075290896645,15177665.0
Lassine Sinayoko,AJ Auxerre,FL1,2025,,13,4,32,25.648186173853524,15131821.0
Vitinha,Genoa CFC,SA,2025,,5,1,37,25.37987679671458,15126482.0
Gianluca Mancini,AS Roma,SA,2025,,4,2,36,29.28952772073922,15082404.0
Andrea Pinamonti,US Sassuolo Calcio,SA,2025,,9,3,36,26.203969883641342,15033779.0
Wouter Burger,TSG 1899 Hoffenheim,BL1,2025,,4,5,30,24.45448323066393,14881718.0
Lorenzo Pellegrini,AS Roma,SA,2025,,4,2,27,29.117043121149898,14853785.0
Brais Méndez,Real Sociedad de Fútbol,PD,2025,,5,2,34,28.56399726214921,14837843.0
Ozan Kabak,TSG 1899 Hoffenheim,BL1,2025,,4,0,28,25.352498288843258,14835607.0
Hugo Duro,Valencia CF,PD,2025,,10,0,37,25.724845995893222,14826895.0
Gorka Guruzeta,Athletic Club,PD,2025,,10,3,36,28.88432580424367,14748203.0
Derry Scherhant,SC Freiburg,BL1,2025,,5,1,34,22.72416153319644,14744209.0
Ludovic Blas,Stade Rennais FC 1901,FL1,2025,,5,4,33,27.583846680355922,14730772.0
Christian Romero,Tottenham Hotspur FC,PL,2025,,4,1,24,27.263518138261464,14717797.0
Ander Barrenetxea,Real Sociedad de Fútbol,PD,2025,,3,5,30,23.59479808350445,14399089.0
Christian Kofane,Bayer 04 Leverkusen,BL1,2025,,5,4,31,19.017111567419576,14313573.0
Rolando Mandragora,ACF Fiorentina,SA,2025,,7,3,35,28.09034907597536,14240919.0
Valentín Castellanos,West Ham United FC,PL,2025,,6,0,18,26.82819986310746,14180341.0
