snapshot_date,player_name,team_name,competition,position,age,predicted_value_eur,form_multiplier,contract_modifier,form_score,goals_recent,assists_recent,matches_played_recent,dynamic_value_eur,value_delta_pct
2026-09-12,Jonathan Tah,Bayer 04 Leverkusen,BL1,,28.470910335386723,36350624.0,1.0,0.95,0.0,0,0,0,34533093.0,-5.0
2026-09-12,Rasmus Højlund,Manchester United FC,PL,,21.489390828199863,36232740.0,0.97,1.0,0.4,2,0,3,35145758.0,-3.0
2026-09-12,Francisco Conceição,Juventus FC,SA,,21.631759069130734,36033156.0,1.0,1.0,0.0,0,0,0,36033156.0,0.0
2026-09-12,Alex Iwobi,Fulham FC,PL,,28.246406570841888,35952696.0,1.0,0.95,0.0,0,0,0,34155061.0,-5.0
2026-09-12,Leon Goretzka,FC Bayern München,BL1,,29.4839151266256,35902740.0,1.0,0.95,0.0,0,0,0,34107603.0,-5.0
2026-09-12,Harry Wilson,Fulham FC,PL,,27.362080766598226,35638836.0,1.0,0.95,0.0,0,0,0,33856894.0,-5.0
2026-09-12,Alexis Saelemaekers,AS Roma,SA,,25.097878165639973,35198784.0,1.0,0.95,0.0,0,0,0,33438845.0,-5.0
2026-09-12,Charles De Ketelaere,Atalanta BC,SA,,23.394934976043807,35098824.0,1.0,1.0,0.0,0,0,0,35098824.0,0.0
2026-09-12,Luis Henrique,Olympique de Marseille,FL1,,22.63107460643395,34843224.0,1.0,1.0,0.0,0,0,0,34843224.0,0.0
2026-09-12,Mohamed Salah,Liverpool FC,PL,,32.12867898699521,34508960.0,1.0,0.82,0.0,0,0,0,28297347.0,-18.0
2026-09-12,Mikel Oyarzabal,Real Sociedad de Fútbol,PD,,27.27994524298425,34161672.0,1.0,0.95,0.0,0,0,0,32453588.0,-5.0
2026-09-12,Ryan Sessegnon,Fulham FC,PL,,24.205338809034902,34112380.0,1.0,1.0,0.0,0,0,0,34112380.0,0.0
2026-09-12,Ange-Yoan Bonny,Parma Calcio 1913,SA,,20.76933607118412,33967984.0,1.0,1.0,0.0,0,0,0,33967984.0,0.0
2026-09-12,Hamed Traoré,AJ Auxerre,FL1,,24.45722108145106,33490064.0,1.0,1.0,0.0,0,0,0,33490064.0,0.0
2026-09-12,Giacomo Raspadori,SSC Napoli,SA,,24.4517453798768,32913544.0,0.91,1.0,0.2,1,0,3,29951325.0,-9.0
2026-09-12,Joelinton,Newcastle United FC,PL,,27.964407939767284,32750852.0,1.0,0.95,0.0,0,0,0,31113309.0,-5.0
2026-09-12,Bafodé Diakité,Lille OSC,FL1,,23.567419575633128,32327092.0,1.0,1.0,0.0,0,0,0,32327092.0,0.0
2026-09-12,Beto,Everton FC,PL,,26.49965776865161,32184420.0,1.0,0.95,0.0,0,0,0,30575199.0,-5.0
2026-09-12,Scott McTominay,SSC Napoli,SA,,27.64681724845996,32164656.0,1.0,0.95,0.0,0,0,0,30556423.0,-5.0
2026-09-12,Ethan Nwaneri,Arsenal FC,PL,,17.366187542778917,31766472.0,1.0,1.0,0.0,0,0,0,31766472.0,0.0
2026-09-12,Dwight McNeil,Everton FC,PL,,24.692676249144423,31749692.0,1.0,1.0,0.0,0,0,0,31749692.0,0.0
2026-09-12,Jhon Durán,Aston Villa FC,PL,,20.635181382614647,31525216.0,1.0,1.0,0.0,0,0,0,31525216.0,0.0
2026-09-12,Ángel Correa,Club Atlético de Madrid,PD,,29.399041752224505,31362624.0,1.0,0.95,0.0,0,0,0,29794493.0,-5.0
2026-09-12,Samuel Chukwueze,AC Milan,SA,,25.196440793976727,31335596.0,1.0,0.95,0.0,0,0,0,29768816.0,-5.0
2026-09-12,Tomáš Souček,West Ham United FC,PL,,29.426420260095824,31289668.0,1.0,0.95,0.0,0,0,0,29725185.0,-5.0
2026-09-12,Victor Boniface,Bayer 04 Leverkusen,BL1,,23.60574948665298,30575516.0,1.0,1.0,0.0,0,0,0,30575516.0,0.0
2026-09-12,Ermedin Demirovic,VfB Stuttgart,BL1,,26.354551676933607,30422988.0,0.91,0.95,0.2,1,0,3,26300673.0,-13.6
2026-09-12,Romelu Lukaku,SSC Napoli,SA,,31.21971252566735,30337632.0,1.0,0.82,0.0,0,0,0,24876858.0,-18.0
